括号数量,提示词,权重,效果
0,jeweled crown,1,%E6%8F%90%E7%A4%BA%E8%AF%8D%20e8bfec82c5064efdb894af0159e0457b/%E6%9D%83%E9%87%8D%E5%A2%9E%E5%8A%A0%E7%A4%BA%E4%BE%8B%E8%A1%A8%20a58232b720334380966b961c2d3da630/0%20e19e10e4e2d549b29a3fbaa8c3625093/00001-2698407883.png
1,[jeweled crown],0.952 ($1/1.05$),%E6%8F%90%E7%A4%BA%E8%AF%8D%20e8bfec82c5064efdb894af0159e0457b/%E6%9D%83%E9%87%8D%E9%99%8D%E4%BD%8E%E7%A4%BA%E4%BE%8B%E8%A1%A8%20bd0500a092a6492184d32240d6bc6e17/1%20df4d2df109604e32b0d2f8901113bf59/00006-1894978281.png
2,[[jeweled crown]],0.907($1/1.05^2$),%E6%8F%90%E7%A4%BA%E8%AF%8D%20e8bfec82c5064efdb894af0159e0457b/%E6%9D%83%E9%87%8D%E9%99%8D%E4%BD%8E%E7%A4%BA%E4%BE%8B%E8%A1%A8%20bd0500a092a6492184d32240d6bc6e17/2%20d165c8fa4abf4beb9a7de9cb6f6d93fa/00007-2130982419.png
3,[[[jeweled crown]]],0.864 ($1/1.05^3$),%E6%8F%90%E7%A4%BA%E8%AF%8D%20e8bfec82c5064efdb894af0159e0457b/%E6%9D%83%E9%87%8D%E9%99%8D%E4%BD%8E%E7%A4%BA%E4%BE%8B%E8%A1%A8%20bd0500a092a6492184d32240d6bc6e17/3%207822307f355746f7b23c9d33f0827671/00008-3269903602.png
4,[[[[jeweled crown]]]],0.823 $(1/10.5^4)$,%E6%8F%90%E7%A4%BA%E8%AF%8D%20e8bfec82c5064efdb894af0159e0457b/%E6%9D%83%E9%87%8D%E9%99%8D%E4%BD%8E%E7%A4%BA%E4%BE%8B%E8%A1%A8%20bd0500a092a6492184d32240d6bc6e17/4%202d96368c91344ec38279e89a71e0eef5/00010-3351405300.png
